job_title,company,candidate_job_title,candidate_min_exp,candidate_max_exp,match_score
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,9,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,4,8,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,9,1
Heavy Maintenance Representative,Allegiant,Data Scientist,5,4,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,0,6,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,7,1
Heavy Maintenance Representative,Allegiant,Data Scientist,5,10,1
Heavy Maintenance Representative,Allegiant,Data Scientist,4,9,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,2,5,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,1,3,1
Heavy Maintenance Representative,Allegiant,Data Scientist,2,5,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,3,9,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,0,2,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,4,3,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,5,5,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,1,10,1
Heavy Maintenance Representative,Allegiant,Data Scientist,1,8,1
Heavy Maintenance Representative,Allegiant,Data Scientist,0,9,1
Heavy Maintenance Representative,Allegiant,Data Scientist,4,3,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,2,9,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,3,3,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,5,4,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,4,4,1
Heavy Maintenance Representative,Allegiant,Data Scientist,2,3,1
Heavy Maintenance Representative,Allegiant,Data Scientist,3,6,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,3,5,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,5,6,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,10,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,3,10,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,3,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,7,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,2,9,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,5,1
Heavy Maintenance Representative,Allegiant,Data Scientist,2,8,1
Heavy Maintenance Representative,Allegiant,Data Scientist,0,9,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,0,3,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,4,3,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,5,9,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,2,7,1
Heavy Maintenance Representative,Allegiant,Data Scientist,4,4,1
Heavy Maintenance Representative,Allegiant,Data Scientist,1,4,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,4,2,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,2,6,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,2,2,1
Heavy Maintenance Representative,Allegiant,Data Scientist,2,5,1
Heavy Maintenance Representative,Allegiant,Data Scientist,0,5,1
Heavy Maintenance Representative,Allegiant,Data Scientist,1,7,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,5,9,1
Heavy Maintenance Representative,Allegiant,Data Scientist,2,4,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,5,9,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,0,5,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,2,3,1
Heavy Maintenance Representative,Allegiant,Data Scientist,1,7,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,3,5,1
Heavy Maintenance Representative,Allegiant,Data Scientist,4,4,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,1,3,1
Heavy Maintenance Representative,Allegiant,Data Scientist,2,10,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,5,6,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,4,6,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,2,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,2,3,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,3,3,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,2,5,1
Heavy Maintenance Representative,Allegiant,Data Scientist,5,5,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,4,6,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,5,4,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,4,5,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,0,5,1
Heavy Maintenance Representative,Allegiant,Data Scientist,3,8,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,1,4,1
Heavy Maintenance Representative,Allegiant,Data Scientist,2,6,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,1,6,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,3,3,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,4,5,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,0,3,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,6,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,0,6,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,3,3,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,1,5,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,2,7,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,2,3,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,1,5,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,4,3,1
Heavy Maintenance Representative,Allegiant,Data Scientist,3,7,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,5,9,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,0,5,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,4,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,4,3,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,5,7,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,2,7,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,1,8,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,3,10,1
Heavy Maintenance Representative,Allegiant,Data Scientist,0,9,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,5,9,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,1,7,1
Heavy Maintenance Representative,Allegiant,Data Scientist,0,7,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,5,4,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,4,3,1
Heavy Maintenance Representative,Allegiant,Data Scientist,0,5,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,2,2,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,0,10,1
Heavy Maintenance Representative,Allegiant,Data Scientist,4,10,1
Heavy Maintenance Representative,Allegiant,Data Scientist,4,9,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,2,6,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,3,2,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,5,9,1
Heavy Maintenance Representative,Allegiant,Data Scientist,3,6,1
Heavy Maintenance Representative,Allegiant,Data Scientist,4,6,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,3,7,1
Heavy Maintenance Representative,Allegiant,Data Scientist,3,6,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,5,10,1
Heavy Maintenance Representative,Allegiant,Data Scientist,0,10,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,0,6,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,4,5,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,1,4,1
Heavy Maintenance Representative,Allegiant,Data Scientist,5,7,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,1,10,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,4,5,1
Heavy Maintenance Representative,Allegiant,Data Scientist,3,2,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,3,2,1
Heavy Maintenance Representative,Allegiant,Data Scientist,3,6,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,1,4,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,5,4,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,2,3,1
Heavy Maintenance Representative,Allegiant,Data Scientist,1,4,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,1,3,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,3,8,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,3,10,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,7,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,2,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,2,4,1
Heavy Maintenance Representative,Allegiant,DevOps Engineer,0,6,1
Heavy Maintenance Representative,Allegiant,Data Scientist,0,6,1
Heavy Maintenance Representative,Allegiant,Frontend Developer,4,3,1
Workday HR Systems Analyst,MoonPay,Data Scientist,0,3,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,4,4,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,5,6,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,0,7,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,5,3,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,3,4,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,1,5,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,0,5,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,4,8,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,2,3,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,1,9,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,5,8,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,4,7,1
Workday HR Systems Analyst,MoonPay,Data Scientist,5,4,1
Workday HR Systems Analyst,MoonPay,Data Scientist,4,5,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,5,10,1
Workday HR Systems Analyst,MoonPay,Data Scientist,4,9,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,0,5,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,3,3,1
Workday HR Systems Analyst,MoonPay,Data Scientist,5,9,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,1,5,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,0,8,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,1,7,2
Workday HR Systems Analyst,MoonPay,Data Scientist,3,8,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,1,6,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,5,6,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,4,7,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,4,3,1
Workday HR Systems Analyst,MoonPay,Data Scientist,4,4,1
Workday HR Systems Analyst,MoonPay,Data Scientist,4,10,1
Workday HR Systems Analyst,MoonPay,Data Scientist,4,10,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,2,4,1
Workday HR Systems Analyst,MoonPay,Data Scientist,0,9,1
Workday HR Systems Analyst,MoonPay,Data Scientist,3,4,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,3,4,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,2,9,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,1,8,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,4,4,1
Workday HR Systems Analyst,MoonPay,Data Scientist,2,3,1
Workday HR Systems Analyst,MoonPay,Data Scientist,1,2,1
Workday HR Systems Analyst,MoonPay,Data Scientist,3,4,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,2,2,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,2,3,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,1,3,1
Workday HR Systems Analyst,MoonPay,Data Scientist,1,7,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,4,9,1
Workday HR Systems Analyst,MoonPay,Data Scientist,0,3,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,4,2,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,5,3,1
Workday HR Systems Analyst,MoonPay,Data Scientist,4,5,1
Workday HR Systems Analyst,MoonPay,Data Scientist,4,4,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,3,10,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,5,9,1
Workday HR Systems Analyst,MoonPay,Data Scientist,1,4,1
Workday HR Systems Analyst,MoonPay,Data Scientist,5,2,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,4,3,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,5,6,1
Workday HR Systems Analyst,MoonPay,Data Scientist,0,6,1
Workday HR Systems Analyst,MoonPay,Data Scientist,4,5,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,5,2,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,3,6,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,0,4,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,0,3,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,0,5,1
Workday HR Systems Analyst,MoonPay,Data Scientist,3,4,1
Workday HR Systems Analyst,MoonPay,Data Scientist,3,9,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,2,6,1
Workday HR Systems Analyst,MoonPay,Data Scientist,4,8,1
Workday HR Systems Analyst,MoonPay,Data Scientist,4,10,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,3,9,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,1,7,1
Workday HR Systems Analyst,MoonPay,Data Scientist,0,6,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,1,3,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,1,2,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,2,7,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,4,8,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,3,3,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,5,7,1
Workday HR Systems Analyst,MoonPay,Data Scientist,2,9,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,5,7,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,1,5,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,1,10,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,1,3,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,2,5,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,2,6,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,3,8,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,5,6,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,0,10,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,0,3,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,5,2,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,1,10,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,3,5,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,4,5,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,2,6,1
Workday HR Systems Analyst,MoonPay,Data Scientist,1,2,1
Workday HR Systems Analyst,MoonPay,Data Scientist,2,9,1
Workday HR Systems Analyst,MoonPay,Data Scientist,2,10,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,2,6,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,5,2,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,3,4,1
Workday HR Systems Analyst,MoonPay,Data Scientist,5,5,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,4,2,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,1,3,1
Workday HR Systems Analyst,MoonPay,Data Scientist,2,9,1
Workday HR Systems Analyst,MoonPay,Data Scientist,3,7,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,1,9,1
Workday HR Systems Analyst,MoonPay,Data Scientist,0,8,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,0,4,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,4,3,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,2,6,1
Workday HR Systems Analyst,MoonPay,Data Scientist,4,4,1
Workday HR Systems Analyst,MoonPay,Data Scientist,2,2,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,0,6,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,5,8,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,3,5,1
Workday HR Systems Analyst,MoonPay,Data Scientist,1,9,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,3,10,1
Workday HR Systems Analyst,MoonPay,Data Scientist,3,7,1
Workday HR Systems Analyst,MoonPay,Data Scientist,3,3,1
Workday HR Systems Analyst,MoonPay,Data Scientist,3,2,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,1,7,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,1,9,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,1,4,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,4,8,1
Workday HR Systems Analyst,MoonPay,Data Scientist,1,2,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,2,5,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,0,2,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,4,5,1
Workday HR Systems Analyst,MoonPay,Data Scientist,1,4,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,1,7,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,3,10,1
Workday HR Systems Analyst,MoonPay,Data Scientist,3,6,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,1,4,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,1,9,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,0,4,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,2,5,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,4,7,1
Workday HR Systems Analyst,MoonPay,Data Scientist,5,9,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,5,8,1
Workday HR Systems Analyst,MoonPay,Data Scientist,1,3,1
Workday HR Systems Analyst,MoonPay,Data Scientist,1,8,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,3,8,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,4,7,1
Workday HR Systems Analyst,MoonPay,Data Scientist,3,9,1
Workday HR Systems Analyst,MoonPay,Data Scientist,5,2,1
Workday HR Systems Analyst,MoonPay,Data Scientist,2,2,1
Workday HR Systems Analyst,MoonPay,Data Scientist,3,2,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,0,3,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,3,2,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,0,3,1
Workday HR Systems Analyst,MoonPay,Data Scientist,2,10,1
Workday HR Systems Analyst,MoonPay,Data Scientist,1,4,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,0,3,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,3,10,1
Workday HR Systems Analyst,MoonPay,Data Scientist,1,10,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,1,6,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,2,7,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,3,8,1
Workday HR Systems Analyst,MoonPay,Data Scientist,4,3,1
Workday HR Systems Analyst,MoonPay,Frontend Developer,2,4,1
Workday HR Systems Analyst,MoonPay,DevOps Engineer,2,5,1
Information Security Officer,Finoa,Data Scientist,0,3,1
Information Security Officer,Finoa,DevOps Engineer,3,4,1
Information Security Officer,Finoa,DevOps Engineer,0,5,1
Information Security Officer,Finoa,DevOps Engineer,4,8,1
Information Security Officer,Finoa,Frontend Developer,5,8,1
Information Security Officer,Finoa,DevOps Engineer,5,10,1
Information Security Officer,Finoa,Frontend Developer,5,8,1
Information Security Officer,Finoa,DevOps Engineer,0,5,1
Information Security Officer,Finoa,Data Scientist,5,9,1
Information Security Officer,Finoa,Frontend Developer,0,8,1
Information Security Officer,Finoa,DevOps Engineer,1,7,1
Information Security Officer,Finoa,Data Scientist,3,8,1
Information Security Officer,Finoa,Data Scientist,5,6,1
Information Security Officer,Finoa,DevOps Engineer,1,6,1
Information Security Officer,Finoa,DevOps Engineer,5,6,1
Information Security Officer,Finoa,Frontend Developer,4,10,1
Information Security Officer,Finoa,Data Scientist,4,4,1
Information Security Officer,Finoa,Data Scientist,4,10,1
Information Security Officer,Finoa,DevOps Engineer,0,3,1
Information Security Officer,Finoa,Data Scientist,3,4,1
Information Security Officer,Finoa,Frontend Developer,3,4,1
Information Security Officer,Finoa,Frontend Developer,1,8,1
Information Security Officer,Finoa,DevOps Engineer,2,5,1
Information Security Officer,Finoa,Data Scientist,3,4,1
Information Security Officer,Finoa,Frontend Developer,2,2,1
Information Security Officer,Finoa,DevOps Engineer,3,9,1
Information Security Officer,Finoa,Frontend Developer,5,3,1
Information Security Officer,Finoa,Data Scientist,5,2,1
Information Security Officer,Finoa,Data Scientist,4,3,1
Information Security Officer,Finoa,DevOps Engineer,4,9,1
Information Security Officer,Finoa,DevOps Engineer,3,7,1
Information Security Officer,Finoa,DevOps Engineer,3,4,1
Information Security Officer,Finoa,Data Scientist,4,5,1
Information Security Officer,Finoa,Frontend Developer,3,10,1
Information Security Officer,Finoa,Data Scientist,1,4,1
Information Security Officer,Finoa,DevOps Engineer,3,6,1
Information Security Officer,Finoa,Frontend Developer,5,6,1
Information Security Officer,Finoa,DevOps Engineer,0,4,1
Information Security Officer,Finoa,DevOps Engineer,5,10,1
Information Security Officer,Finoa,Data Scientist,4,10,1
Information Security Officer,Finoa,Frontend Developer,3,9,1
Information Security Officer,Finoa,Data Scientist,5,3,1
Information Security Officer,Finoa,Frontend Developer,2,3,1
Information Security Officer,Finoa,DevOps Engineer,1,5,1
Information Security Officer,Finoa,Data Scientist,4,5,1
Information Security Officer,Finoa,Frontend Developer,1,3,1
Information Security Officer,Finoa,DevOps Engineer,5,6,1
Information Security Officer,Finoa,DevOps Engineer,0,3,1
Information Security Officer,Finoa,Frontend Developer,5,2,1
Information Security Officer,Finoa,Frontend Developer,5,6,1
Information Security Officer,Finoa,Data Scientist,1,2,1
Information Security Officer,Finoa,Frontend Developer,1,9,1
Information Security Officer,Finoa,Frontend Developer,1,2,1
Information Security Officer,Finoa,Frontend Developer,4,5,1
Information Security Officer,Finoa,Frontend Developer,2,6,1
Information Security Officer,Finoa,Data Scientist,5,4,1
Information Security Officer,Finoa,DevOps Engineer,2,6,1
Information Security Officer,Finoa,Frontend Developer,5,2,1
Information Security Officer,Finoa,Data Scientist,5,5,1
Information Security Officer,Finoa,DevOps Engineer,4,2,1
Information Security Officer,Finoa,DevOps Engineer,1,3,1
Information Security Officer,Finoa,Data Scientist,4,9,1
Information Security Officer,Finoa,Frontend Developer,1,9,1
Information Security Officer,Finoa,Data Scientist,2,2,1
Information Security Officer,Finoa,Frontend Developer,0,6,1
Information Security Officer,Finoa,Frontend Developer,3,5,1
Information Security Officer,Finoa,Data Scientist,1,4,1
Information Security Officer,Finoa,Frontend Developer,0,10,1
Information Security Officer,Finoa,Frontend Developer,2,7,1
Information Security Officer,Finoa,Data Scientist,3,7,1
Information Security Officer,Finoa,Data Scientist,3,3,1
Information Security Officer,Finoa,DevOps Engineer,1,9,1
Information Security Officer,Finoa,Frontend Developer,3,4,1
Information Security Officer,Finoa,DevOps Engineer,2,8,1
Information Security Officer,Finoa,DevOps Engineer,0,8,1
Information Security Officer,Finoa,Frontend Developer,4,8,1
Information Security Officer,Finoa,Frontend Developer,2,5,1
Information Security Officer,Finoa,DevOps Engineer,2,3,1
Information Security Officer,Finoa,Frontend Developer,0,2,1
Information Security Officer,Finoa,Frontend Developer,4,3,1
Information Security Officer,Finoa,Data Scientist,2,9,1
Information Security Officer,Finoa,DevOps Engineer,4,5,1
Information Security Officer,Finoa,DevOps Engineer,5,10,1
Information Security Officer,Finoa,DevOps Engineer,5,5,1
Information Security Officer,Finoa,Data Scientist,2,2,1
