job_title,required_skills,experience,min_experience,max_experience,skills_list
Data Scientist,"Python, SQL, Machine Learning, Pandas, campaign, authority",0-2 years,0,2,"['python', 'sql', 'machine learning', 'pandas', 'campaign', 'authority']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, on, sport",4-7 years,4,7,"['python', 'sql', 'machine learning', 'pandas', 'on', 'sport']"
DevOps Engineer,"AWS, Docker, Kubernetes, building, recently",5-10 years,5,10,"['aws', 'docker', 'kubernetes', 'building', 'recently']"
Frontend Developer,"JavaScript, React, HTML/CSS, right, ground",3-4 years,3,4,"['javascript', 'react', 'html/css', 'right', 'ground']"
DevOps Engineer,"AWS, Docker, Kubernetes, perhaps, west",1-6 years,1,6,"['aws', 'docker', 'kubernetes', 'perhaps', 'west']"
DevOps Engineer,"AWS, Docker, Kubernetes, project, total",3-8 years,3,8,"['aws', 'docker', 'kubernetes', 'project', 'total']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, six, Republican",5-4 years,5,4,"['python', 'sql', 'machine learning', 'pandas', 'six', 'republican']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, rule, agent",3-8 years,3,8,"['python', 'sql', 'machine learning', 'pandas', 'rule', 'agent']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, finally, pick",0-10 years,0,10,"['python', 'sql', 'machine learning', 'pandas', 'finally', 'pick']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, little, decide",3-10 years,3,10,"['python', 'sql', 'machine learning', 'pandas', 'little', 'decide']"
Frontend Developer,"JavaScript, React, HTML/CSS, personal, music",1-8 years,1,8,"['javascript', 'react', 'html/css', 'personal', 'music']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, kitchen, somebody",0-4 years,0,4,"['python', 'sql', 'machine learning', 'pandas', 'kitchen', 'somebody']"
Frontend Developer,"JavaScript, React, HTML/CSS, knowledge, turn",4-10 years,4,10,"['javascript', 'react', 'html/css', 'knowledge', 'turn']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, see, degree",2-3 years,2,3,"['python', 'sql', 'machine learning', 'pandas', 'see', 'degree']"
Frontend Developer,"JavaScript, React, HTML/CSS, food, majority",3-6 years,3,6,"['javascript', 'react', 'html/css', 'food', 'majority']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, low, break",5-2 years,5,2,"['python', 'sql', 'machine learning', 'pandas', 'low', 'break']"
Frontend Developer,"JavaScript, React, HTML/CSS, off, cut",2-10 years,2,10,"['javascript', 'react', 'html/css', 'off', 'cut']"
Frontend Developer,"JavaScript, React, HTML/CSS, stuff, trouble",5-6 years,5,6,"['javascript', 'react', 'html/css', 'stuff', 'trouble']"
DevOps Engineer,"AWS, Docker, Kubernetes, deal, become",1-2 years,1,2,"['aws', 'docker', 'kubernetes', 'deal', 'become']"
DevOps Engineer,"AWS, Docker, Kubernetes, difficult, your",1-6 years,1,6,"['aws', 'docker', 'kubernetes', 'difficult', 'your']"
Frontend Developer,"JavaScript, React, HTML/CSS, nor, employee",2-10 years,2,10,"['javascript', 'react', 'html/css', 'nor', 'employee']"
Frontend Developer,"JavaScript, React, HTML/CSS, particularly, artist",0-8 years,0,8,"['javascript', 'react', 'html/css', 'particularly', 'artist']"
DevOps Engineer,"AWS, Docker, Kubernetes, budget, away",4-5 years,4,5,"['aws', 'docker', 'kubernetes', 'budget', 'away']"
DevOps Engineer,"AWS, Docker, Kubernetes, without, pass",3-5 years,3,5,"['aws', 'docker', 'kubernetes', 'without', 'pass']"
DevOps Engineer,"AWS, Docker, Kubernetes, necessary, down",1-6 years,1,6,"['aws', 'docker', 'kubernetes', 'necessary', 'down']"
DevOps Engineer,"AWS, Docker, Kubernetes, hour, for",5-10 years,5,10,"['aws', 'docker', 'kubernetes', 'hour', 'for']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, director, likely",4-10 years,4,10,"['python', 'sql', 'machine learning', 'pandas', 'director', 'likely']"
DevOps Engineer,"AWS, Docker, Kubernetes, manage, too",4-8 years,4,8,"['aws', 'docker', 'kubernetes', 'manage', 'too']"
DevOps Engineer,"AWS, Docker, Kubernetes, program, pay",3-8 years,3,8,"['aws', 'docker', 'kubernetes', 'program', 'pay']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, strong, prepare",4-7 years,4,7,"['python', 'sql', 'machine learning', 'pandas', 'strong', 'prepare']"
Frontend Developer,"JavaScript, React, HTML/CSS, for, look",2-6 years,2,6,"['javascript', 'react', 'html/css', 'for', 'look']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, truth, discussion",4-6 years,4,6,"['python', 'sql', 'machine learning', 'pandas', 'truth', 'discussion']"
Frontend Developer,"JavaScript, React, HTML/CSS, north, will",2-2 years,2,2,"['javascript', 'react', 'html/css', 'north', 'will']"
DevOps Engineer,"AWS, Docker, Kubernetes, open, artist",1-3 years,1,3,"['aws', 'docker', 'kubernetes', 'open', 'artist']"
DevOps Engineer,"AWS, Docker, Kubernetes, protect, president",0-3 years,0,3,"['aws', 'docker', 'kubernetes', 'protect', 'president']"
DevOps Engineer,"AWS, Docker, Kubernetes, hard, wish",4-4 years,4,4,"['aws', 'docker', 'kubernetes', 'hard', 'wish']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, policy, design",3-6 years,3,6,"['python', 'sql', 'machine learning', 'pandas', 'policy', 'design']"
Frontend Developer,"JavaScript, React, HTML/CSS, everyone, join",1-8 years,1,8,"['javascript', 'react', 'html/css', 'everyone', 'join']"
Frontend Developer,"JavaScript, React, HTML/CSS, social, huge",1-8 years,1,8,"['javascript', 'react', 'html/css', 'social', 'huge']"
DevOps Engineer,"AWS, Docker, Kubernetes, too, only",4-10 years,4,10,"['aws', 'docker', 'kubernetes', 'too', 'only']"
Frontend Developer,"JavaScript, React, HTML/CSS, else, career",4-5 years,4,5,"['javascript', 'react', 'html/css', 'else', 'career']"
Frontend Developer,"JavaScript, React, HTML/CSS, break, particular",5-2 years,5,2,"['javascript', 'react', 'html/css', 'break', 'particular']"
Frontend Developer,"JavaScript, React, HTML/CSS, energy, mother",5-4 years,5,4,"['javascript', 'react', 'html/css', 'energy', 'mother']"
DevOps Engineer,"AWS, Docker, Kubernetes, and, who",0-2 years,0,2,"['aws', 'docker', 'kubernetes', 'and', 'who']"
DevOps Engineer,"AWS, Docker, Kubernetes, until, lead",4-4 years,4,4,"['aws', 'docker', 'kubernetes', 'until', 'lead']"
Frontend Developer,"JavaScript, React, HTML/CSS, fine, could",5-4 years,5,4,"['javascript', 'react', 'html/css', 'fine', 'could']"
Frontend Developer,"JavaScript, React, HTML/CSS, lose, national",5-2 years,5,2,"['javascript', 'react', 'html/css', 'lose', 'national']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, simple, occur",2-8 years,2,8,"['python', 'sql', 'machine learning', 'pandas', 'simple', 'occur']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, character, ten",1-6 years,1,6,"['python', 'sql', 'machine learning', 'pandas', 'character', 'ten']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, inside, position",0-2 years,0,2,"['python', 'sql', 'machine learning', 'pandas', 'inside', 'position']"
DevOps Engineer,"AWS, Docker, Kubernetes, yes, friend",2-2 years,2,2,"['aws', 'docker', 'kubernetes', 'yes', 'friend']"
DevOps Engineer,"AWS, Docker, Kubernetes, north, able",0-10 years,0,10,"['aws', 'docker', 'kubernetes', 'north', 'able']"
DevOps Engineer,"AWS, Docker, Kubernetes, provide, ok",5-5 years,5,5,"['aws', 'docker', 'kubernetes', 'provide', 'ok']"
DevOps Engineer,"AWS, Docker, Kubernetes, not, seat",2-2 years,2,2,"['aws', 'docker', 'kubernetes', 'not', 'seat']"
Frontend Developer,"JavaScript, React, HTML/CSS, school, create",5-8 years,5,8,"['javascript', 'react', 'html/css', 'school', 'create']"
DevOps Engineer,"AWS, Docker, Kubernetes, we, feeling",4-10 years,4,10,"['aws', 'docker', 'kubernetes', 'we', 'feeling']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, would, father",0-8 years,0,8,"['python', 'sql', 'machine learning', 'pandas', 'would', 'father']"
DevOps Engineer,"AWS, Docker, Kubernetes, know, phone",2-3 years,2,3,"['aws', 'docker', 'kubernetes', 'know', 'phone']"
DevOps Engineer,"AWS, Docker, Kubernetes, how, table",4-2 years,4,2,"['aws', 'docker', 'kubernetes', 'how', 'table']"
DevOps Engineer,"AWS, Docker, Kubernetes, song, ability",3-8 years,3,8,"['aws', 'docker', 'kubernetes', 'song', 'ability']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, staff, least",1-9 years,1,9,"['python', 'sql', 'machine learning', 'pandas', 'staff', 'least']"
DevOps Engineer,"AWS, Docker, Kubernetes, either, sense",3-3 years,3,3,"['aws', 'docker', 'kubernetes', 'either', 'sense']"
DevOps Engineer,"AWS, Docker, Kubernetes, pay, some",2-10 years,2,10,"['aws', 'docker', 'kubernetes', 'pay', 'some']"
Frontend Developer,"JavaScript, React, HTML/CSS, year, carry",0-5 years,0,5,"['javascript', 'react', 'html/css', 'year', 'carry']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, what, sign",4-4 years,4,4,"['python', 'sql', 'machine learning', 'pandas', 'what', 'sign']"
Frontend Developer,"JavaScript, React, HTML/CSS, conference, throughout",5-9 years,5,9,"['javascript', 'react', 'html/css', 'conference', 'throughout']"
DevOps Engineer,"AWS, Docker, Kubernetes, hotel, good",5-10 years,5,10,"['aws', 'docker', 'kubernetes', 'hotel', 'good']"
DevOps Engineer,"AWS, Docker, Kubernetes, carry, price",1-7 years,1,7,"['aws', 'docker', 'kubernetes', 'carry', 'price']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, raise, subject",1-4 years,1,4,"['python', 'sql', 'machine learning', 'pandas', 'raise', 'subject']"
Frontend Developer,"JavaScript, React, HTML/CSS, ready, clearly",4-4 years,4,4,"['javascript', 'react', 'html/css', 'ready', 'clearly']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, only, method",4-9 years,4,9,"['python', 'sql', 'machine learning', 'pandas', 'only', 'method']"
Frontend Developer,"JavaScript, React, HTML/CSS, I, probably",4-6 years,4,6,"['javascript', 'react', 'html/css', 'i', 'probably']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, may, brother",3-3 years,3,3,"['python', 'sql', 'machine learning', 'pandas', 'may', 'brother']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, specific, main",3-10 years,3,10,"['python', 'sql', 'machine learning', 'pandas', 'specific', 'main']"
Frontend Developer,"JavaScript, React, HTML/CSS, hundred, particularly",4-9 years,4,9,"['javascript', 'react', 'html/css', 'hundred', 'particularly']"
DevOps Engineer,"AWS, Docker, Kubernetes, population, report",3-5 years,3,5,"['aws', 'docker', 'kubernetes', 'population', 'report']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, American, international",0-6 years,0,6,"['python', 'sql', 'machine learning', 'pandas', 'american', 'international']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, hot, to",5-7 years,5,7,"['python', 'sql', 'machine learning', 'pandas', 'hot', 'to']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, speech, resource",4-10 years,4,10,"['python', 'sql', 'machine learning', 'pandas', 'speech', 'resource']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, attorney, middle",2-9 years,2,9,"['python', 'sql', 'machine learning', 'pandas', 'attorney', 'middle']"
DevOps Engineer,"AWS, Docker, Kubernetes, manager, often",5-6 years,5,6,"['aws', 'docker', 'kubernetes', 'manager', 'often']"
Frontend Developer,"JavaScript, React, HTML/CSS, half, collection",1-8 years,1,8,"['javascript', 'react', 'html/css', 'half', 'collection']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, artist, nor",3-10 years,3,10,"['python', 'sql', 'machine learning', 'pandas', 'artist', 'nor']"
Frontend Developer,"JavaScript, React, HTML/CSS, wear, glass",2-3 years,2,3,"['javascript', 'react', 'html/css', 'wear', 'glass']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, hit, tax",1-2 years,1,2,"['python', 'sql', 'machine learning', 'pandas', 'hit', 'tax']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, most, field",5-8 years,5,8,"['python', 'sql', 'machine learning', 'pandas', 'most', 'field']"
Frontend Developer,"JavaScript, React, HTML/CSS, scene, close",5-8 years,5,8,"['javascript', 'react', 'html/css', 'scene', 'close']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, like, allow",2-4 years,2,4,"['python', 'sql', 'machine learning', 'pandas', 'like', 'allow']"
Frontend Developer,"JavaScript, React, HTML/CSS, under, stuff",2-6 years,2,6,"['javascript', 'react', 'html/css', 'under', 'stuff']"
DevOps Engineer,"AWS, Docker, Kubernetes, only, imagine",0-2 years,0,2,"['aws', 'docker', 'kubernetes', 'only', 'imagine']"
DevOps Engineer,"AWS, Docker, Kubernetes, parent, necessary",1-7 years,1,7,"['aws', 'docker', 'kubernetes', 'parent', 'necessary']"
DevOps Engineer,"AWS, Docker, Kubernetes, data, thus",2-7 years,2,7,"['aws', 'docker', 'kubernetes', 'data', 'thus']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, choice, blood",4-9 years,4,9,"['python', 'sql', 'machine learning', 'pandas', 'choice', 'blood']"
DevOps Engineer,"AWS, Docker, Kubernetes, sing, special",4-6 years,4,6,"['aws', 'docker', 'kubernetes', 'sing', 'special']"
Frontend Developer,"JavaScript, React, HTML/CSS, firm, effort",2-3 years,2,3,"['javascript', 'react', 'html/css', 'firm', 'effort']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, when, myself",5-8 years,5,8,"['python', 'sql', 'machine learning', 'pandas', 'when', 'myself']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, nearly, next",5-4 years,5,4,"['python', 'sql', 'machine learning', 'pandas', 'nearly', 'next']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, type, yeah",5-9 years,5,9,"['python', 'sql', 'machine learning', 'pandas', 'type', 'yeah']"
DevOps Engineer,"AWS, Docker, Kubernetes, sometimes, poor",0-8 years,0,8,"['aws', 'docker', 'kubernetes', 'sometimes', 'poor']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, modern, later",5-3 years,5,3,"['python', 'sql', 'machine learning', 'pandas', 'modern', 'later']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, party, beautiful",2-8 years,2,8,"['python', 'sql', 'machine learning', 'pandas', 'party', 'beautiful']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, hear, international",3-3 years,3,3,"['python', 'sql', 'machine learning', 'pandas', 'hear', 'international']"
Frontend Developer,"JavaScript, React, HTML/CSS, property, cell",5-4 years,5,4,"['javascript', 'react', 'html/css', 'property', 'cell']"
Frontend Developer,"JavaScript, React, HTML/CSS, traditional, entire",1-9 years,1,9,"['javascript', 'react', 'html/css', 'traditional', 'entire']"
Frontend Developer,"JavaScript, React, HTML/CSS, own, off",4-8 years,4,8,"['javascript', 'react', 'html/css', 'own', 'off']"
Frontend Developer,"JavaScript, React, HTML/CSS, a, close",4-10 years,4,10,"['javascript', 'react', 'html/css', 'a', 'close']"
Frontend Developer,"JavaScript, React, HTML/CSS, follow, require",1-8 years,1,8,"['javascript', 'react', 'html/css', 'follow', 'require']"
DevOps Engineer,"AWS, Docker, Kubernetes, left, small",1-10 years,1,10,"['aws', 'docker', 'kubernetes', 'left', 'small']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, add, college",2-5 years,2,5,"['python', 'sql', 'machine learning', 'pandas', 'add', 'college']"
Frontend Developer,"JavaScript, React, HTML/CSS, treat, population",0-7 years,0,7,"['javascript', 'react', 'html/css', 'treat', 'population']"
Frontend Developer,"JavaScript, React, HTML/CSS, issue, ago",1-7 years,1,7,"['javascript', 'react', 'html/css', 'issue', 'ago']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, guess, drop",1-2 years,1,2,"['python', 'sql', 'machine learning', 'pandas', 'guess', 'drop']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, look, seem",3-4 years,3,4,"['python', 'sql', 'machine learning', 'pandas', 'look', 'seem']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, stand, tree",0-4 years,0,4,"['python', 'sql', 'machine learning', 'pandas', 'stand', 'tree']"
DevOps Engineer,"AWS, Docker, Kubernetes, hotel, including",1-8 years,1,8,"['aws', 'docker', 'kubernetes', 'hotel', 'including']"
DevOps Engineer,"AWS, Docker, Kubernetes, resource, own",3-8 years,3,8,"['aws', 'docker', 'kubernetes', 'resource', 'own']"
DevOps Engineer,"AWS, Docker, Kubernetes, finish, strategy",2-5 years,2,5,"['aws', 'docker', 'kubernetes', 'finish', 'strategy']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, community, within",1-9 years,1,9,"['python', 'sql', 'machine learning', 'pandas', 'community', 'within']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, list, lose",0-2 years,0,2,"['python', 'sql', 'machine learning', 'pandas', 'list', 'lose']"
Frontend Developer,"JavaScript, React, HTML/CSS, have, strategy",2-10 years,2,10,"['javascript', 'react', 'html/css', 'have', 'strategy']"
DevOps Engineer,"AWS, Docker, Kubernetes, avoid, budget",3-3 years,3,3,"['aws', 'docker', 'kubernetes', 'avoid', 'budget']"
DevOps Engineer,"AWS, Docker, Kubernetes, join, look",1-10 years,1,10,"['aws', 'docker', 'kubernetes', 'join', 'look']"
DevOps Engineer,"AWS, Docker, Kubernetes, heart, local",4-6 years,4,6,"['aws', 'docker', 'kubernetes', 'heart', 'local']"
Frontend Developer,"JavaScript, React, HTML/CSS, manager, relate",0-7 years,0,7,"['javascript', 'react', 'html/css', 'manager', 'relate']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, consumer, cost",2-8 years,2,8,"['python', 'sql', 'machine learning', 'pandas', 'consumer', 'cost']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, of, on",1-6 years,1,6,"['python', 'sql', 'machine learning', 'pandas', 'of', 'on']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, sign, spend",3-7 years,3,7,"['python', 'sql', 'machine learning', 'pandas', 'sign', 'spend']"
DevOps Engineer,"AWS, Docker, Kubernetes, upon, suddenly",1-8 years,1,8,"['aws', 'docker', 'kubernetes', 'upon', 'suddenly']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, international, Mr",4-10 years,4,10,"['python', 'sql', 'machine learning', 'pandas', 'international', 'mr']"
DevOps Engineer,"AWS, Docker, Kubernetes, Congress, any",0-5 years,0,5,"['aws', 'docker', 'kubernetes', 'congress', 'any']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, crime, sea",4-3 years,4,3,"['python', 'sql', 'machine learning', 'pandas', 'crime', 'sea']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, message, wind",0-10 years,0,10,"['python', 'sql', 'machine learning', 'pandas', 'message', 'wind']"
Data Scientist,"Python, SQL, Machine Learning, Pandas, party, manage",3-5 years,3,5,"['python', 'sql', 'machine learning', 'pandas', 'party', 'manage']"
